measurement	processing_type	filename	filepath	direct_sound_arrival_ms	lf_early	lf_late	dr_ratio
2	omni	Earthworks 8-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/100ms/Earthworks 8-03_Subj_100ms.wav	0.0			-54.99436887008146
2	omni	Earthworks 9-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/100ms/Earthworks 9-03_Subj_100ms.wav	4.458333333333333			-46.27739489378702
2	ambi	Soundfield 1-03_Subj_100ms.wav,Soundfield 3-03_Subj_100ms.wav,Soundfield 4-03_Subj_100ms.wav,Soundfield 2-03_Subj_100ms.wav	Soundfield 1-03_Subj_100ms.wav,Soundfield 3-03_Subj_100ms.wav,Soundfield 4-03_Subj_100ms.wav,Soundfield 2-03_Subj_100ms.wav	0	0.5100589093907449	0.0736317290593451	-72.24703514237501
2	omni	Earthworks 1-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 1-03_Subj_350ms.wav	7.9375			-57.419378766782565
2	omni	Earthworks 10-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 10-03_Subj_350ms.wav	2.0833333333333335			-52.71826272988348
2	omni	Earthworks 11-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 11-03_Subj_350ms.wav	8.395833333333334			-46.740927014205255
2	omni	Earthworks 12-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 12-03_Subj_350ms.wav	10.1875			-48.337056731858965
2	omni	Earthworks 13-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 13-03_Subj_350ms.wav	10.375			-54.735149259869694
2	omni	Earthworks 14-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 14-03_Subj_350ms.wav	19.479166666666668			-45.72778022309799
2	omni	Earthworks 2-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 2-03_Subj_350ms.wav	0.0			-52.28981978484673
2	omni	Earthworks 3-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 3-03_Subj_350ms.wav	3.75			-54.8017621785948
2	omni	Earthworks 4-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 4-03_Subj_350ms.wav	19.75			-52.89579500781951
2	omni	Earthworks 5-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 5-03_Subj_350ms.wav	0.0			-66.71390666151277
2	omni	Earthworks 6-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 6-03_Subj_350ms.wav	1.4375			-61.25537314270454
2	omni	Earthworks 7-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 7-03_Subj_350ms.wav	5.583333333333333			-51.68530846434197
2	omni	Earthworks 8-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 8-03_Subj_350ms.wav	28.208333333333332			-50.70775599321841
2	omni	Earthworks 9-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion2/350ms/Earthworks 9-03_Subj_350ms.wav	4.583333333333333			-46.90300065248354
2	ambi	Soundfield 2-03_Subj_350ms.wav,Soundfield 4-03_Subj_350ms.wav,Soundfield 3-03_Subj_350ms.wav,Soundfield 1-03_Subj_350ms.wav	Soundfield 2-03_Subj_350ms.wav,Soundfield 4-03_Subj_350ms.wav,Soundfield 3-03_Subj_350ms.wav,Soundfield 1-03_Subj_350ms.wav	0	0.5938117704345303	0.07320184324220341	-73.31517822386294
7	omni	Earthworks 1-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/100ms/Earthworks 1-03_Subj_100ms.wav	14.666666666666666			-46.171415046216936
7	omni	Earthworks 2-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/100ms/Earthworks 2-03_Subj_100ms.wav	5.291666666666667			-50.89792160936405
7	omni	Earthworks 3-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/100ms/Earthworks 3-03_Subj_100ms.wav	26.75			-47.27892309489622
7	omni	Earthworks 4-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/100ms/Earthworks 4-03_Subj_100ms.wav	2.4791666666666665			-48.754853568424174
7	omni	Earthworks 1-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/10ms/Earthworks 1-03_Subj_10ms.wav	6.208333333333333			-53.66489055008877
7	omni	Earthworks 2-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/10ms/Earthworks 2-03_Subj_10ms.wav	11.229166666666666			-57.19320287883495
7	omni	Earthworks 3-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/10ms/Earthworks 3-03_Subj_10ms.wav	16.333333333333332			-51.91342586933882
7	omni	Earthworks 4-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/10ms/Earthworks 4-03_Subj_10ms.wav	1.5208333333333333			-45.44392490864425
7	omni	Earthworks 1-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/350ms/Earthworks 1-03_Subj_350ms.wav	14.791666666666666			-46.42457737052068
7	omni	Earthworks 2-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/350ms/Earthworks 2-03_Subj_350ms.wav	20.979166666666668			-48.53849875629856
7	omni	Earthworks 3-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/350ms/Earthworks 3-03_Subj_350ms.wav	26.75			-47.57889632509613
7	omni	Earthworks 4-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion7/350ms/Earthworks 4-03_Subj_350ms.wav	1.9166666666666667			-48.448638767510126
4	omni	Earthworks 1-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 1-03_Subj_100ms.wav	0.0			-53.91211345677381
4	omni	Earthworks 10-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 10-03_Subj_100ms.wav	5.979166666666667			-50.37891802138993
4	omni	Earthworks 11-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 11-03_Subj_100ms.wav	0.0			-67.7707812858827
4	omni	Earthworks 12-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 12-03_Subj_100ms.wav	17.9375			-47.73708633055308
4	omni	Earthworks 13-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 13-03_Subj_100ms.wav	3.5			-62.48552408363798
4	omni	Earthworks 14-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 14-03_Subj_100ms.wav	5.6875			-74.05584659707839
4	omni	Earthworks 2-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 2-03_Subj_100ms.wav	1.7708333333333333			-48.52099464212071
4	omni	Earthworks 3-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 3-03_Subj_100ms.wav	4.3125			-47.96120779593978
4	omni	Earthworks 4-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 4-03_Subj_100ms.wav	7.375			-70.0701204439035
4	omni	Earthworks 5-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 5-03_Subj_100ms.wav	0.0			-65.96581232647748
4	omni	Earthworks 6-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 6-03_Subj_100ms.wav	4.083333333333333			-55.36110270363906
4	omni	Earthworks 7-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 7-03_Subj_100ms.wav	5.208333333333333			-49.743004417633244
4	omni	Earthworks 8-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 8-03_Subj_100ms.wav	7.666666666666667			-49.525334647736415
4	omni	Earthworks 9-03_Subj_100ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/100ms/Earthworks 9-03_Subj_100ms.wav	1.8333333333333333			-57.43949771854989
4	ambi	Soundfield 1-03_Subj_100ms.wav,Soundfield 3-03_Subj_100ms.wav,Soundfield 4-03_Subj_100ms.wav,Soundfield 2-03_Subj_100ms.wav	Soundfield 1-03_Subj_100ms.wav,Soundfield 3-03_Subj_100ms.wav,Soundfield 4-03_Subj_100ms.wav,Soundfield 2-03_Subj_100ms.wav	0	0.27232724178688406	0.060111916888666184	-59.39087406796327
4	omni	Earthworks 1-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 1-03_Subj_10ms.wav	2.1875			-51.99766897787118
4	omni	Earthworks 10-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 10-03_Subj_10ms.wav	6.0625			-47.940433768662416
4	omni	Earthworks 11-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 11-03_Subj_10ms.wav	0.0			-64.76211600724051
4	omni	Earthworks 12-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 12-03_Subj_10ms.wav	18.583333333333332			-45.50821368541214
4	omni	Earthworks 13-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 13-03_Subj_10ms.wav	3.9791666666666665			-60.905066258743936
4	omni	Earthworks 14-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 14-03_Subj_10ms.wav	3.0625			-62.3845597319571
4	omni	Earthworks 2-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 2-03_Subj_10ms.wav	2.0833333333333335			-46.20419748530111
4	omni	Earthworks 3-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 3-03_Subj_10ms.wav	17.333333333333332			-44.21643062586385
4	omni	Earthworks 4-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 4-03_Subj_10ms.wav	15.875			-48.01943338563906
4	omni	Earthworks 5-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 5-03_Subj_10ms.wav	0.0			-59.00074455978832
4	omni	Earthworks 6-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 6-03_Subj_10ms.wav	2.9166666666666665			-52.959725335622146
4	omni	Earthworks 7-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 7-03_Subj_10ms.wav	4.5			-47.50162432148224
4	omni	Earthworks 8-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 8-03_Subj_10ms.wav	8.125			-47.61882660547655
4	omni	Earthworks 9-03_Subj_10ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/10ms/Earthworks 9-03_Subj_10ms.wav	6.875			-50.75358444716774
4	ambi	Soundfield 2-03_Subj_10ms.wav,Soundfield 1-03_Subj_10ms.wav,Soundfield 4-03_Subj_10ms.wav,Soundfield 3-03_Subj_10ms.wav	Soundfield 2-03_Subj_10ms.wav,Soundfield 1-03_Subj_10ms.wav,Soundfield 4-03_Subj_10ms.wav,Soundfield 3-03_Subj_10ms.wav	10	0.24123381622225998	0.05957989811959832	-56.44141414939787
4	omni	Earthworks 1-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/350ms/Earthworks 1-03_Subj_350ms.wav	1.0833333333333333			-54.62289211340896
4	omni	Earthworks 10-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/350ms/Earthworks 10-03_Subj_350ms.wav	6.104166666666667			-50.824268934734064
4	omni	Earthworks 11-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/350ms/Earthworks 11-03_Subj_350ms.wav	0.0			-71.92178352624566
4	omni	Earthworks 12-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/350ms/Earthworks 12-03_Subj_350ms.wav	18.541666666666668			-47.889554761264606
4	omni	Earthworks 13-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/350ms/Earthworks 13-03_Subj_350ms.wav	3.75			-63.42987711493918
4	omni	Earthworks 14-03_Subj_350ms.wav	/mnt/Ivan'sDrive/Documents/untref/materias/ima/final/RIRs/subjetivadas/medicion4/350ms/Earthworks 14-03_Subj_350ms.wav	5.729166666666667			-75.90179531456813
